Dat,Intercept,Value,Kg
0,-185961.28,-176733,0.415
1,-185961.28,-176936,0.415
2,-185961.28,-176647,0.415
3,-185961.28,-176863,0.415
4,-185961.28,-176523,0.415
5,-185961.28,-176707,0.415
6,-185961.28,-176384,0.415
7,-185961.28,-176693,0.415
8,-185961.28,-176735,0.415
9,-185961.28,-176805,0.415
10,-185961.28,-176852,0.415
11,-185961.28,-176509,0.415
12,-185961.28,-176908,0.415
13,-185961.28,-176530,0.415
14,-185961.28,-176945,0.415
15,-185961.28,-176745,0.415
16,-185961.28,-176862,0.415
17,-185961.28,-176813,0.415
18,-185961.28,-176575,0.415
19,-185961.28,-176992,0.415
20,-185961.28,-176665,0.415
21,-185961.28,-176959,0.415
22,-185961.28,-176592,0.415
23,-185961.28,-176798,0.415
24,-185961.28,-176816,0.415
25,-185961.28,-176658,0.415
26,-185961.28,-176986,0.415
27,-185961.28,-176665,0.415
28,-185961.28,-176997,0.415
29,-185961.28,-176664,0.415
30,-185961.28,-176929,0.415
31,-185961.28,-176783,0.415
32,-185961.28,-176814,0.415
33,-185961.28,-176891,0.415
34,-185961.28,-176661,0.415
35,-185961.28,-177047,0.415
36,-185961.28,-176729,0.415
37,-185961.28,-176988,0.415
38,-185961.28,-176797,0.415
39,-185961.28,-176993,0.415
40,-185961.28,-176997,0.415
41,-185961.28,-176891,0.415
42,-185961.28,-176987,0.415
43,-185961.28,-176656,0.415
44,-185961.28,-176991,0.415
45,-185961.28,-176654,0.415
46,-185961.28,-176976,0.415
47,-185961.28,-176727,0.415
48,-185961.28,-176717,0.415
49,-185961.28,-176893,0.415
50,-185961.28,-176634,0.415
51,-185961.28,-177036,0.415
52,-185961.28,-176692,0.415
53,-185961.28,-177016,0.415
54,-185961.28,-176812,0.415
55,-185961.28,-176919,0.415
56,-185961.28,-176982,0.415
57,-185961.28,-176786,0.415
58,-185961.28,-177076,0.415
59,-185961.28,-176727,0.415
60,-185961.28,-177034,0.415
61,-185961.28,-176631,0.415
62,-185961.28,-176801,0.415
63,-185961.28,-176749,0.415
64,-185961.28,-176761,0.415
65,-185961.28,-177014,0.415
66,-185961.28,-176792,0.415
67,-185961.28,-177030,0.415
68,-185961.28,-176594,0.415
69,-185961.28,-176939,0.415
70,-185961.28,-176775,0.415
71,-185961.28,-176741,0.415
72,-185961.28,-176876,0.415
73,-185961.28,-176673,0.415
74,-185961.28,-177089,0.415
75,-185961.28,-176680,0.415
76,-185961.28,-177036,0.415
77,-185961.28,-176636,0.415
78,-185961.28,-176791,0.415
79,-185961.28,-176784,0.415
80,-185961.28,-176747,0.415
81,-185961.28,-176929,0.415
82,-185961.28,-176577,0.415
83,-185961.28,-177002,0.415
84,-185961.28,-176739,0.415
85,-185961.28,-176993,0.415
86,-185961.28,-176834,0.415
87,-185961.28,-176797,0.415
88,-185961.28,-177033,0.415
89,-185961.28,-176813,0.415
90,-185961.28,-177105,0.415
91,-185961.28,-176789,0.415
92,-185961.28,-176970,0.415
93,-185961.28,-176633,0.415
94,-185961.28,-176800,0.415
95,-185961.28,-176827,0.415
96,-185961.28,-176605,0.415
97,-185961.28,-176936,0.415
98,-185961.28,-176693,0.415
99,-185961.28,-177094,0.415
100,-185961.28,-169315,0.697
101,-185961.28,-168927,0.697
102,-185961.28,-169531,0.697
103,-185961.28,-169065,0.697
104,-185961.28,-169336,0.697
105,-185961.28,-169480,0.697
106,-185961.28,-169084,0.697
107,-185961.28,-169458,0.697
108,-185961.28,-168787,0.697
109,-185961.28,-169303,0.697
110,-185961.28,-168871,0.697
111,-185961.28,-169231,0.697
112,-185961.28,-169307,0.697
113,-185961.28,-168887,0.697
114,-185961.28,-169107,0.697
115,-185961.28,-168658,0.697
116,-185961.28,-169352,0.697
117,-185961.28,-168888,0.697
118,-185961.28,-169127,0.697
119,-185961.28,-169161,0.697
120,-185961.28,-169045,0.697
121,-185961.28,-169235,0.697
122,-185961.28,-168984,0.697
123,-185961.28,-169439,0.697
124,-185961.28,-168870,0.697
125,-185961.28,-169222,0.697
126,-185961.28,-169016,0.697
127,-185961.28,-169088,0.697
128,-185961.28,-169211,0.697
129,-185961.28,-168831,0.697
130,-185961.28,-169248,0.697
131,-185961.28,-168846,0.697
132,-185961.28,-169316,0.697
