Intercept,Value,Kg,,3.55,3.56,3.57,Err with diff grads
-192396.5,-191410,0,986.5,0.03502075,0.0351194,0.03521805,9.86500000000022E-05
-192396.5,-191493,0,903.5,0.03207425,0.0321646,0.03225495,9.03500000000029E-05
-192396.5,-191403,0,993.5,0.03526925,0.0353686,0.03546795,9.93500000000015E-05
-192396.5,-191634,0,762.5,0.02706875,0.027145,0.02722125,7.62499999999999E-05
-192396.5,-191628,0,768.5,0.02728175,0.0273586,0.02743545,7.68500000000016E-05
-192396.5,-191587,0,809.5,0.02873725,0.0288182,0.02889915,8.09500000000032E-05
-192396.5,-191561,0,835.5,0.02966025,0.0297438,0.02982735,8.35500000000034E-05
-192396.5,-191494,0,902.5,0.03203875,0.032129,0.03221925,9.02500000000035E-05
-192396.5,-191413,0,983.5,0.03491425,0.0350126,0.03511095,9.8350000000004E-05
-192396.5,-191528,0,868.5,0.03083175,0.0309186,0.03100545,8.68500000000012E-05
-192396.5,-191518,0,878.5,0.03118675,0.0312746,0.03136245,8.78500000000022E-05
-192396.5,-191558,0,838.5,0.02976675,0.0298506,0.02993445,8.38500000000016E-05
-192396.5,-191656,0,740.5,0.02628775,0.0263618,0.02643585,7.40499999999991E-05
-192396.5,-191519,0,877.5,0.03115125,0.031239,0.03132675,8.7750000000001E-05
-192396.5,-191556,0,840.5,0.02983775,0.0299218,0.03000585,8.40500000000022E-05
-192396.5,-191596,0,800.5,0.02841775,0.0284978,0.02857785,8.00500000000034E-05
-192396.5,-191570,0,826.5,0.02934075,0.0294234,0.02950605,8.26500000000001E-05
-192396.5,-191485,0,911.5,0.03235825,0.0324494,0.03254055,9.11500000000016E-05
-192396.5,-191569,0,827.5,0.02937625,0.029459,0.02954175,8.27500000000012E-05
-192396.5,-191607,0,789.5,0.02802725,0.0281062,0.02818515,7.89500000000012E-05
-192396.5,-191701,0,695.5,0.02469025,0.0247598,0.02482935,6.95500000000015E-05
-192396.5,-191424,0,972.5,0.03452375,0.034621,0.03471825,9.72500000000036E-05
-192396.5,-191448,0,948.5,0.03367175,0.0337666,0.03386145,9.48500000000005E-05
-192396.5,-191402,0,994.5,0.03530475,0.0354042,0.03550365,9.94500000000044E-05
-192396.5,-191583,0,813.5,0.02887925,0.0289606,0.02904195,8.13500000000009E-05
-192396.5,-191667,0,729.5,0.02589725,0.0259702,0.02604315,7.29500000000004E-05
-192396.5,-191613,0,783.5,0.02781425,0.0278926,0.02797095,7.83500000000013E-05
-192396.5,-191690,0,706.5,0.02508075,0.0251514,0.02522205,7.0650000000002E-05
-192396.5,-191684,0,712.5,0.02529375,0.025365,0.02543625,7.12500000000001E-05
-192396.5,-191460,0,936.5,0.03324575,0.0333394,0.03343305,9.36500000000041E-05
-192396.5,-191668,0,728.5,0.02586175,0.0259346,0.02600745,7.28500000000045E-05
-192396.5,-191533,0,863.5,0.03065425,0.0307406,0.03082695,8.63500000000024E-05
-192396.5,-191722,0,674.5,0.02394475,0.0240122,0.02407965,6.74500000000001E-05
-192396.5,-191613,0,783.5,0.02781425,0.0278926,0.02797095,7.83500000000013E-05
-192396.5,-191483,0,913.5,0.03242925,0.0325206,0.03261195,9.13500000000005E-05
-192396.5,-191564,0,832.5,0.02955375,0.029637,0.02972025,8.325E-05
-192396.5,-191650,0,746.5,0.02650075,0.0265754,0.02665005,7.46500000000025E-05
-192396.5,-191540,0,856.5,0.03040575,0.0304914,0.03057705,8.56500000000031E-05
-192396.5,-191623,0,773.5,0.02745925,0.0275366,0.02761395,7.73500000000038E-05
-192396.5,-191741,0,655.5,0.02327025,0.0233358,0.02340135,6.5550000000001E-05
-192396.5,-191459,0,937.5,0.03328125,0.033375,0.03346875,9.37500000000036E-05
-192396.5,-191565,0,831.5,0.02951825,0.0296014,0.02968455,8.31500000000023E-05
-192396.5,-191544,0,852.5,0.03026375,0.030349,0.03043425,8.5250000000002E-05
-192396.5,-191575,0,821.5,0.02916325,0.0292454,0.02932755,8.21500000000013E-05
-192396.5,-191547,0,849.5,0.03015725,0.0302422,0.03032715,8.49500000000003E-05
-192396.5,-191716,0,680.5,0.02415775,0.0242258,0.02429385,6.80500000000001E-05
-192396.5,-191666,0,730.5,0.02593275,0.0260058,0.02607885,7.30499999999998E-05
-192396.5,-191628,0,768.5,0.02728175,0.0273586,0.02743545,7.68500000000016E-05
-192396.5,-191673,0,723.5,0.02568425,0.0257566,0.02582895,7.23500000000005E-05
-192396.5,-191691,0,705.5,0.02504525,0.0251158,0.02518635,7.05500000000008E-05
-192396.5,-191636,0,760.5,0.02699775,0.0270738,0.02714985,7.60499999999994E-05
-192396.5,-191513,0,883.5,0.03136425,0.0314526,0.03154095,8.83500000000044E-05
-192396.5,-191656,0,740.5,0.02628775,0.0263618,0.02643585,7.40499999999991E-05
-192396.5,-191480,0,916.5,0.03253575,0.0326274,0.03271905,9.16500000000021E-05
-192396.5,-191505,0,891.5,0.03164825,0.0317374,0.03182655,8.91500000000031E-05
-192396.5,-191539,0,857.5,0.03044125,0.030527,0.03061275,8.57500000000008E-05
-192396.5,-191542,0,854.5,0.03033475,0.0304202,0.03050565,8.54500000000008E-05
-192396.5,-191653,0,743.5,0.02639425,0.0264686,0.02654295,7.43500000000008E-05
-192396.5,-191622,0,774.5,0.02749475,0.0275722,0.02764965,7.74500000000015E-05
-192396.5,-191621,0,775.5,0.02753025,0.0276078,0.02768535,7.75500000000043E-05
-192396.5,-191777,0,619.5,0.02199225,0.0220542,0.02211615,6.19500000000016E-05
-192396.5,-191602,0,794.5,0.02820475,0.0282842,0.02836365,7.945E-05
-192396.5,-191573,0,823.5,0.02923425,0.0293166,0.02939895,8.23500000000036E-05
-192396.5,-191556,0,840.5,0.02983775,0.0299218,0.03000585,8.40500000000022E-05
-192396.5,-191575,0,821.5,0.02916325,0.0292454,0.02932755,8.21500000000013E-05
-192396.5,-191761,0,635.5,0.02256025,0.0226238,0.02268735,6.35500000000008E-05
-192396.5,-191432,0,964.5,0.03423975,0.0343362,0.03443265,9.64500000000014E-05
-192396.5,-191610,0,786.5,0.02792075,0.0279994,0.02807805,7.8650000000003E-05
-192396.5,-191601,0,795.5,0.02824025,0.0283198,0.02839935,7.95500000000029E-05
-192396.5,-191658,0,738.5,0.02621675,0.0262906,0.02636445,7.3850000000002E-05
-192396.5,-191539,0,857.5,0.03044125,0.030527,0.03061275,8.57500000000008E-05
-192396.5,-191628,0,768.5,0.02728175,0.0273586,0.02743545,7.68500000000016E-05
-192396.5,-191712,0,684.5,0.02429975,0.0243682,0.02443665,6.84500000000029E-05
-192396.5,-191731,0,665.5,0.02362525,0.0236918,0.02375835,6.65500000000003E-05
-192396.5,-191718,0,678.5,0.02408675,0.0241546,0.02422245,6.7850000000003E-05
-192396.5,-191546,0,850.5,0.03019275,0.0302778,0.03036285,8.50500000000032E-05
-192396.5,-191720,0,676.5,0.02401575,0.0240834,0.02415105,6.76500000000007E-05
-192396.5,-191645,0,751.5,0.02667825,0.0267534,0.02682855,7.51500000000013E-05
-192396.5,-191526,0,870.5,0.03090275,0.0309898,0.03107685,8.70500000000034E-05
-192396.5,-191562,0,834.5,0.02962475,0.0297082,0.02979165,8.34500000000023E-05
-192396.5,-191539,0,857.5,0.03044125,0.030527,0.03061275,8.57500000000008E-05
