filter,rest_std,rest_peak_to_peak,rest_hf_30_49_sum,20260402_stage4_fast_max_trial01_peak_error,20260402_stage4_fast_max_trial01_peak_time_shift_s,20260402_stage4_fast_max_trial01_rise_shift_s,20260402_stage4_fast_max_trial01_max_dfdt_ratio,20260402_stage4_ramp_hold_trial01_peak_error,20260402_stage4_ramp_hold_trial01_peak_time_shift_s,20260402_stage4_ramp_hold_trial01_rise_shift_s,20260402_stage4_ramp_hold_trial01_max_dfdt_ratio,20260402_stage4_sustained_hold_trial01_peak_error,20260402_stage4_sustained_hold_trial01_peak_time_shift_s,20260402_stage4_sustained_hold_trial01_rise_shift_s,20260402_stage4_sustained_hold_trial01_max_dfdt_ratio,mean_peak_relative_error,mean_rise_relative_error,mean_peak_time_shift_norm,mean_dfdt_deviation,rest_std_norm,composite_score
butter_lowpass_15hz,78.52705155586861,568.6990576234821,0.5823771669040627,-1370.0710163065232,0.0,0.0,0.9808224822118574,-4383.713314960478,0.0,-0.009999999999999787,0.8648325993529017,-304.65565707255155,0.0,0.0,0.9816491401606212,0.00097352912135898,0.0010893246187363601,0.0,0.05756525942487323,0.855091410650019,0.2257355722018287
butter_lowpass_10hz,74.35779154910958,525.3773206432234,0.01628028663744133,-2636.2987799970433,0.010000000000000675,0.0,0.9206892509682983,-6968.276234946214,0.0,-0.009999999999999787,0.7790619671214678,-2087.80795935099,0.0,0.0,0.9644350066957083,0.0019094780080267913,0.0010893246187363601,0.03333333333333558,0.11193792507150853,0.8096917891194707,0.22892111539218596
butter_lowpass_8hz,72.46058839797455,508.1636977860762,0.0024819331866765366,-3036.7130063069053,0.010000000000000675,0.0,0.8832982661162383,-9402.266321470728,0.0,-0.019999999999999574,0.7549956394472376,-3426.2528279465623,0.0,0.0,0.9530306484994566,0.0026069805964978304,0.0021786492374727203,0.03333333333333558,0.13622514864568916,0.7890328940425363,0.22896689470562698
butter_lowpass_12hz,76.11812902905771,541.1935963265423,0.07872006182712023,-2304.5977779356763,0.0,0.0,0.9504307966437305,-5525.904635750689,-0.010000000000001563,-0.009999999999999787,0.801670251746989,-1150.614894136088,0.0,0.0,0.9719170293438468,0.00145542747972058,0.0010893246187363601,0.033333333333338544,0.09199397408847787,0.8288603358702428,0.22956554419836595
notch_45p95hz_then_lowpass_12hz,76.11271516251097,541.147891192697,0.07656166056178805,-2307.501631411258,0.0,0.0,0.9503471164053493,-5530.8300872158725,-0.010000000000001563,-0.009999999999999787,0.801544208228118,-1153.1624527934473,0.0,0.0,0.9718798551401143,0.001457132167537534,0.0010893246187363601,0.033333333333338544,0.09207627340880613,0.8288013835641164,0.22956786262663592
notch_45p95hz,91.36542873696663,762.8713386129239,8122.056810599291,-6.563032246660441,0.0,0.0,1.000368791950694,-64.32409449247643,0.0,0.0,0.9997803676692191,66.39865935989656,0.0,0.0,1.0003099318440003,2.3451782341737e-05,0.0,0.0,0.00029945204182509527,0.9948901912833625,0.24879064635302525
identity,91.8346864181156,762.0,9605.373047552313,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.25
bandpass_0p05_12hz,41.94751384616375,346.00252250674924,0.0764332528914004,-299602.0663476824,0.0,0.0,0.9453907303135359,-984912.935008246,0.0,3.419999999999998,0.7254717128298529,-875318.4742417486,-0.15000000000000036,-0.5599999999999987,0.9499159451425585,0.3640696896919174,0.5407171877760107,0.5000000000000012,0.1264072039046842,0.45677200502629534,0.3709705522072829
highpass_0p05hz,66.24468790315716,576.5086819374453,9605.373047703895,-299584.2321818189,0.0,0.009999999999999787,0.9942070066394024,-979390.0071398292,0.0,3.3400000000000016,1.0686546969209179,-874661.1478135005,-0.15000000000000036,-0.5599999999999987,0.9775246566977026,0.36305658323401735,0.5355868202168009,0.5000000000000012,0.03230767786127094,0.721347134584319,0.4174268053719203
bandpass_0p10_12hz,41.76334179525027,337.5296776692464,0.07420339398761873,-761825.7023810141,0.0,-0.01499999999999968,0.9193263813700152,-1295193.936675271,0.14000000000000057,-0.8499999999999996,0.8044230283414542,-1138146.2904311954,-0.16000000000000014,-0.8549999999999986,0.9212200465135869,0.533070222633483,0.3547256934353704,1.0000000000000024,0.1183435145916479,0.45476653129848227,0.4594074830082065
highpass_0p10hz,66.11377074238773,575.842647690512,9605.373047564946,-764601.8360796794,0.0,-0.01499999999999968,0.967039332521991,-1285330.3121063937,0.14000000000000057,-0.8199999999999985,1.1854303606392358,-1138781.206062312,-0.16000000000000014,-0.8549999999999986,0.9481944354757987,0.5320220326003865,0.3514577195791611,1.0000000000000024,0.09006553088048201,0.7199215603718326,0.5193469796371062
