host_unix_time_ns,lsl_timestamp_s,device_clock_us,value_raw,value_filtered,sequence,parser_mode,raw_line
1775199072150860159,52606.939169997,454648,-178063.0,0.0,39,tagged_csv,"D,39,454648,-178063.00"
1775199072163408118,52606.951716914,467148,-178046.0,1.2360071050643455,40,tagged_csv,"D,40,467148,-178046.00"
1775199072175923725,52606.964231791,479648,-177992.0,6.3062092915934045,41,tagged_csv,"D,41,479648,-177992.00"
1775199072188495453,52606.976803843,492148,-178169.0,-1.8699112936446909,42,tagged_csv,"D,42,492148,-178169.00"
1775199072201046437,52606.989353564,504648,-177991.0,3.50318148729275,43,tagged_csv,"D,43,504648,-177991.00"
1775199072213537664,52607.001846734,517148,-178141.0,-2.4291553584625944,44,tagged_csv,"D,44,517148,-178141.00"
1775199072226055272,52607.014362951,529648,-178268.0,-17.15429277336807,45,tagged_csv,"D,45,529648,-178268.00"
1775199072238746774,52607.027055272,542148,-178085.0,-17.478513918351382,46,tagged_csv,"D,46,542148,-178085.00"
1775199072251082996,52607.039390205,554648,-178082.0,-17.558538590878015,47,tagged_csv,"D,47,554648,-178082.00"
1775199072263772374,52607.052079374,567148,-177924.0,-6.1430187088262755,48,tagged_csv,"D,48,567148,-177924.00"
1775199072276329865,52607.064636843,579648,-177911.0,5.37050110072596,49,tagged_csv,"D,49,579648,-177911.00"
1775199072288817484,52607.077124420,592148,-178005.0,9.193852875119774,50,tagged_csv,"D,50,592148,-178005.00"
1775199072301301174,52607.089608064,604648,-178144.0,2.6260008574754465,51,tagged_csv,"D,51,604648,-178144.00"
1775199072313833835,52607.102141657,617148,-177951.0,10.577989689016249,52,tagged_csv,"D,52,617148,-177951.00"
1775199072326421426,52607.114728629,629648,-178007.0,13.86658657278167,53,tagged_csv,"D,53,629648,-178007.00"
1775199072338947813,52607.127255390,642148,-177812.0,31.087069029395934,54,tagged_csv,"D,54,642148,-177812.00"
1775199072351501219,52607.139808224,654648,-178037.0,30.666038548457436,55,tagged_csv,"D,55,654648,-178037.00"
1775199072364036777,52607.152343927,667148,-178092.0,26.273931165836984,56,tagged_csv,"D,56,667148,-178092.00"
1775199072376600919,52607.164908015,679648,-178173.0,16.315834962122608,57,tagged_csv,"D,57,679648,-178173.00"
1775199072389160607,52607.177468105,692148,-178222.0,3.532900606514886,58,tagged_csv,"D,58,692148,-178222.00"
1775199072401735896,52607.190043408,704648,-178073.0,2.532249273179332,59,tagged_csv,"D,59,704648,-178073.00"
1775199072414094886,52607.202402384,717148,-178006.0,6.487127845728537,60,tagged_csv,"D,60,717148,-178006.00"
1775199072426691238,52607.214998220,729648,-178175.0,-2.1492794623191003,61,tagged_csv,"D,61,729648,-178175.00"
1775199072439334906,52607.227642009,742148,-178028.0,0.5438508197839838,62,tagged_csv,"D,62,742148,-178028.00"
1775199072451822665,52607.240130387,754648,-178181.0,-8.09987952542724,63,tagged_csv,"D,63,754648,-178181.00"
1775199072464402083,52607.252715272,767148,-178198.0,-17.352117664268008,64,tagged_csv,"D,64,767148,-178198.00"
1775199072476968068,52607.265275854,779648,-178166.0,-23.60034690334578,65,tagged_csv,"D,65,779648,-178166.00"
1775199072489537427,52607.277847026,792148,-178306.0,-39.58844791306183,66,tagged_csv,"D,66,792148,-178306.00"
1775199072502000014,52607.290307082,804648,-178178.0,-45.09126239269972,67,tagged_csv,"D,67,804648,-178178.00"
1775199072514495321,52607.302803001,817148,-178160.0,-48.88259000395192,68,tagged_csv,"D,68,817148,-178160.00"
1775199072527057428,52607.315364597,829648,-178074.0,-46.13526760649984,69,tagged_csv,"D,69,829648,-178074.00"
1775199072539584112,52607.327891282,842148,-178177.0,-51.088518849166576,70,tagged_csv,"D,70,842148,-178177.00"
1775199072552113700,52607.340421392,854648,-178091.0,-49.418508215108886,71,tagged_csv,"D,71,854648,-178091.00"
1775199072564688515,52607.352995719,867148,-178214.0,-56.82703097400372,72,tagged_csv,"D,72,867148,-178214.00"
1775199072577247156,52607.365554124,879648,-178035.0,-50.66119058019831,73,tagged_csv,"D,73,879648,-178035.00"
1775199072589798789,52607.378105819,892148,-178203.0,-57.178195001150016,74,tagged_csv,"D,74,892148,-178203.00"
1775199072602292039,52607.390598938,904648,-178000.0,-48.43806491675787,75,tagged_csv,"D,75,904648,-178000.00"
1775199072614829480,52607.403137433,917148,-178080.0,-46.16003610412008,76,tagged_csv,"D,76,917148,-178080.00"
1775199072627379235,52607.415686345,929648,-178158.0,-49.72789405757794,77,tagged_csv,"D,77,929648,-178158.00"
1775199072639831990,52607.428139152,942148,-178169.0,-53.836964363610605,78,tagged_csv,"D,78,942148,-178169.00"
1775199072652390121,52607.440697060,954648,-178136.0,-55.243733352428535,79,tagged_csv,"D,79,954648,-178136.00"
1775199072664981365,52607.453288401,967148,-178096.0,-53.6352404266072,80,tagged_csv,"D,80,967148,-178096.00"
1775199072677583393,52607.465891250,979648,-178085.0,-51.342853193345945,81,tagged_csv,"D,81,979648,-178085.00"
1775199072690014595,52607.478321969,992148,-178167.0,-55.188680342020234,82,tagged_csv,"D,82,992148,-178167.00"
1775199072702664460,52607.490971421,1004648,-178184.0,-59.99240102802287,83,tagged_csv,"D,83,1004648,-178184.00"
1775199072715242983,52607.503550288,1017148,-177968.0,-48.7170828069211,84,tagged_csv,"D,84,1017148,-177968.00"
1775199072727762054,52607.516069277,1029648,-178150.0,-51.51617126612109,85,tagged_csv,"D,85,1029648,-178150.00"
1775199072740331663,52607.528638786,1042148,-178087.0,-49.52373673784314,86,tagged_csv,"D,86,1042148,-178087.00"
1775199072752767983,52607.541075113,1054648,-178290.0,-62.45895524098887,87,tagged_csv,"D,87,1054648,-178290.00"
1775199072765401029,52607.553708005,1067148,-178201.0,-67.9711994426907,88,tagged_csv,"D,88,1067148,-178201.00"
1775199072777960954,52607.566267890,1079648,-178178.0,-71.40716756341862,89,tagged_csv,"D,89,1079648,-178178.00"
1775199072790475976,52607.578782908,1092148,-178085.0,-67.82061958411941,90,tagged_csv,"D,90,1092148,-178085.00"
1775199072803057973,52607.591365391,1104648,-178179.0,-71.34037351357983,91,tagged_csv,"D,91,1104648,-178179.00"
1775199072815525543,52607.603832822,1117148,-178188.0,-75.25920174087514,92,tagged_csv,"D,92,1117148,-178188.00"
1775199072828122767,52607.616429837,1129648,-178324.0,-88.79624787333887,93,tagged_csv,"D,93,1129648,-178324.00"
1775199072840627428,52607.628934417,1142148,-178123.0,-86.71059751743451,94,tagged_csv,"D,94,1142148,-178123.00"
1775199072853156151,52607.641463091,1154648,-178049.0,-79.38810775359161,95,tagged_csv,"D,95,1154648,-178049.00"
1775199072865738665,52607.654045773,1167148,-178278.0,-89.2747415304766,96,tagged_csv,"D,96,1167148,-178278.00"
1775199072878260521,52607.666567565,1179648,-178169.0,-90.50399034982547,97,tagged_csv,"D,97,1179648,-178169.00"
1775199072890803428,52607.679110422,1192148,-178199.0,-93.8283398594358,98,tagged_csv,"D,98,1192148,-178199.00"
1775199072903376287,52607.691683427,1204648,-178257.0,-101.13419796308153,99,tagged_csv,"D,99,1204648,-178257.00"
1775199072916071703,52607.704383429,1217148,-178209.0,-104.41265543471673,100,tagged_csv,"D,100,1217148,-178209.00"
1775199072928542280,52607.716849807,1229648,-178123.0,-101.18981036130572,101,tagged_csv,"D,101,1229648,-178123.00"
1775199072941094396,52607.729401710,1242148,-178239.0,-106.64883332251338,102,tagged_csv,"D,102,1242148,-178239.00"
1775199072953541425,52607.741848790,1254648,-178156.0,-105.66622537525836,103,tagged_csv,"D,103,1254648,-178156.00"
1775199072966146350,52607.754459228,1267148,-178145.0,-103.95414585902472,104,tagged_csv,"D,104,1267148,-178145.00"
1775199072978685675,52607.766992813,1279648,-178038.0,-94.57494658298674,105,tagged_csv,"D,105,1279648,-178038.00"
1775199072991287634,52607.779594615,1292148,-178377.0,-110.56489725690335,106,tagged_csv,"D,106,1292148,-178377.00"
1775199073003852216,52607.792160947,1304648,-178163.0,-109.80686309776502,107,tagged_csv,"D,107,1304648,-178163.00"
1775199073016242113,52607.804550344,1317148,-178246.0,-115.14813145872904,108,tagged_csv,"D,108,1317148,-178246.00"
1775199073028819270,52607.817129276,1329648,-178311.0,-124.83377890984411,109,tagged_csv,"D,109,1329648,-178311.00"
1775199073041433623,52607.829744785,1342148,-178249.0,-129.29924116269103,110,tagged_csv,"D,110,1342148,-178249.00"
1775199073053956428,52607.842266503,1354648,-178173.0,-127.9051676512463,111,tagged_csv,"D,111,1354648,-178173.00"
1775199073066434168,52607.854742602,1367148,-178188.0,-127.70491888612742,112,tagged_csv,"D,112,1367148,-178188.00"
1775199073078997502,52607.867305442,1379648,-178171.0,-126.2813037171436,113,tagged_csv,"D,113,1379648,-178171.00"
1775199073091588201,52607.879897750,1392148,-178127.0,-121.75725461484399,114,tagged_csv,"D,114,1392148,-178127.00"
1775199073104010612,52607.892318338,1404648,-178304.0,-130.45187881670427,115,tagged_csv,"D,115,1404648,-178304.00"
1775199073116530408,52607.904838970,1417148,-178114.0,-124.67745972867124,116,tagged_csv,"D,116,1417148,-178114.00"
1775199073129129107,52607.917436235,1429648,-178346.0,-136.21789441100555,117,tagged_csv,"D,117,1429648,-178346.00"
1775199073141712816,52607.930021144,1442148,-178252.0,-140.07282112157554,118,tagged_csv,"D,118,1442148,-178252.00"
1775199073154303638,52607.942618916,1454648,-178341.0,-150.12805524506257,119,tagged_csv,"D,119,1454648,-178341.00"
1775199073166712470,52607.955024953,1467148,-178239.0,-152.02337039788836,120,tagged_csv,"D,120,1467148,-178239.00"
