host_unix_time_ns,lsl_timestamp_s,device_clock_us,value_raw,value_filtered,sequence,parser_mode,raw_line
1775220304476684344,73839.264993885,540104,-207324.0,0.0,44,tagged_csv,"D,44,540104,-207324.00"
1775220304486784868,73839.275096091,550104,-208137.0,-48.002122873527696,45,tagged_csv,"D,45,550104,-208137.00"
1775220304496938008,73839.285251145,560104,-208561.0,-118.14055709540844,46,tagged_csv,"D,46,560104,-208561.00"
1775220304506978379,73839.295293154,570104,-208939.0,-206.35933032131288,47,tagged_csv,"D,47,570104,-208939.00"
1775220304516920751,73839.305232686,580104,-209434.0,-318.46973865665495,48,tagged_csv,"D,48,580104,-209434.00"
1775220304532015739,73839.320328459,595104,-209936.0,-514.9664818623278,49,tagged_csv,"D,49,595104,-209936.00"
1775220304542048593,73839.330362611,605104,-210685.0,-682.2505189168733,50,tagged_csv,"D,50,605104,-210685.00"
1775220304552179974,73839.340494612,615104,-211204.0,-870.0404208033578,51,tagged_csv,"D,51,615104,-211204.00"
1775220304562143845,73839.350458186,625104,-212024.0,-1094.8577899578086,52,tagged_csv,"D,52,625104,-212024.00"
1775220304572190235,73839.360505469,635104,-212705.0,-1346.2462489379395,53,tagged_csv,"D,53,635104,-212705.00"
1775220304582201165,73839.370514935,645104,-213489.0,-1628.6664049964456,54,tagged_csv,"D,54,645104,-213489.00"
1775220304592244056,73839.380556424,655104,-214073.0,-1928.41750602494,55,tagged_csv,"D,55,655104,-214073.00"
1775220304607517678,73839.395834748,670104,-214894.0,-2408.8120141908003,56,tagged_csv,"D,56,670104,-214894.00"
1775220304617273632,73839.405586473,680104,-215156.0,-2725.0543120868388,57,tagged_csv,"D,57,680104,-215156.00"
1775220304627347664,73839.415665325,690104,-215289.0,-3029.8783072338847,58,tagged_csv,"D,58,690104,-215289.00"
1775220304637480960,73839.425798140,700104,-214744.0,-3283.9185960914765,59,tagged_csv,"D,59,700104,-214744.00"
1775220304647470032,73839.435782504,710104,-213181.0,-3430.1125199238013,60,tagged_csv,"D,60,710104,-213181.00"
1775220304657459254,73839.445772206,720104,-212135.0,-3505.4775152717775,61,tagged_csv,"D,61,720104,-212135.00"
1775220304672472314,73839.460785306,735104,-212033.0,-3599.2570346909924,62,tagged_csv,"D,62,735104,-212033.00"
1775220304682547281,73839.470860904,745104,-212319.0,-3674.626191937132,63,tagged_csv,"D,63,745104,-212319.00"
1775220304692535153,73839.480849100,755104,-212126.0,-3738.474749793997,64,tagged_csv,"D,64,755104,-212126.00"
1775220304702432776,73839.490740170,765104,-212194.0,-3802.568730105995,65,tagged_csv,"D,65,765104,-212194.00"
1775220304712620213,73839.500932153,775104,-212303.0,-3869.317437431426,66,tagged_csv,"D,66,775104,-212303.00"
1775220304722601619,73839.510914526,785104,-213773.0,-4019.0227091365377,67,tagged_csv,"D,67,785104,-213773.00"
1775220304732591137,73839.520904050,795104,-216720.0,-4334.0967650559905,68,tagged_csv,"D,68,795104,-216720.00"
1775220304747511835,73839.535818897,810104,-217891.0,-4866.860225639655,69,tagged_csv,"D,69,810104,-217891.00"
1775220304757670363,73839.545983815,820104,-217582.0,-5182.771530724742,70,tagged_csv,"D,70,820104,-217582.00"
1775220304767641018,73839.555952820,830104,-218048.0,-5507.55568883862,71,tagged_csv,"D,71,830104,-218048.00"
1775220304777751468,73839.566063826,840104,-218960.0,-5867.054519261379,72,tagged_csv,"D,72,840104,-218960.00"
1775220304787668845,73839.575977588,850104,-219604.0,-6243.372318398673,73,tagged_csv,"D,73,850104,-219604.00"
1775220304797740319,73839.586049160,860104,-219379.0,-6584.14177421559,74,tagged_csv,"D,74,860104,-219379.00"
1775220304812881326,73839.601193135,875104,-217931.0,-6926.553617160098,75,tagged_csv,"D,75,875104,-217931.00"
1775220304822896111,73839.611215677,885104,-216752.0,-7071.633769533888,76,tagged_csv,"D,76,885104,-216752.00"
1775220304832881729,73839.621192147,895104,-214992.0,-7104.090541381389,77,tagged_csv,"D,77,895104,-214992.00"
1775220304843072733,73839.631386125,905104,-213521.0,-7047.666861711099,78,tagged_csv,"D,78,905104,-213521.00"
1775220304853042038,73839.641352698,915104,-212487.0,-6933.451414182229,79,tagged_csv,"D,79,915104,-212487.00"
1775220304863191442,73839.651505083,925104,-212686.0,-6837.752448749816,80,tagged_csv,"D,80,925104,-212686.00"
1775220304873054549,73839.661372144,935104,-213008.0,-6766.746759067901,81,tagged_csv,"D,81,935104,-213008.00"
1775220304888159585,73839.676473669,950104,-212984.0,-6667.34470108751,82,tagged_csv,"D,82,950104,-212984.00"
1775220304898181377,73839.686494790,960104,-212614.0,-6583.120819359232,83,tagged_csv,"D,83,960104,-212614.00"
1775220304908148012,73839.696460696,970104,-212180.0,-6478.219083831471,84,tagged_csv,"D,84,970104,-212180.00"
1775220304918238335,73839.706549885,980104,-211888.0,-6362.256585842231,85,tagged_csv,"D,85,980104,-211888.00"
1775220304928482667,73839.716803616,990104,-211838.0,-6250.193619062862,86,tagged_csv,"D,86,990104,-211838.00"
1775220304938357405,73839.726669783,1000104,-211793.0,-6142.095240344235,87,tagged_csv,"D,87,1000104,-211793.00"
1775220304953369017,73839.741682478,1015104,-211082.0,-5932.674902784871,88,tagged_csv,"D,88,1015104,-211082.00"
1775220304963541949,73839.751856082,1025104,-210722.0,-5780.032671551511,89,tagged_csv,"D,89,1025104,-210722.00"
1775220304973484856,73839.761800107,1035104,-210417.0,-5618.38344554865,90,tagged_csv,"D,90,1035104,-210417.00"
1775220304983577055,73839.771890289,1045104,-210614.0,-5477.936628381576,91,tagged_csv,"D,91,1045104,-210614.00"
1775220304993813634,73839.782134692,1055104,-210541.0,-5341.477091511129,92,tagged_csv,"D,92,1055104,-210541.00"
1775220305003534725,73839.791853057,1065104,-210482.0,-5209.596760867513,93,tagged_csv,"D,93,1065104,-210482.00"
1775220305013643040,73839.801955522,1075104,-210177.0,-5067.482045925572,94,tagged_csv,"D,94,1075104,-210177.00"
1775220305028927647,73839.817240693,1090104,-210288.0,-4882.230978796026,95,tagged_csv,"D,95,1090104,-210288.00"
1775220305038763339,73839.827075168,1100104,-210727.0,-4791.9838454946,96,tagged_csv,"D,96,1100104,-210727.00"
1775220305048759430,73839.837071975,1110104,-211064.0,-4726.994450778409,97,tagged_csv,"D,97,1110104,-211064.00"
1775220305058759889,73839.847076377,1120104,-211485.0,-4690.7354842621135,98,tagged_csv,"D,98,1120104,-211485.00"
1775220305068879809,73839.857193624,1130104,-211629.0,-4665.132958711823,99,tagged_csv,"D,99,1130104,-211629.00"
1775220305079014520,73839.867327859,1140104,-211819.0,-4652.276293353934,100,tagged_csv,"D,100,1140104,-211819.00"
1775220305094079231,73839.882394008,1155104,-211676.0,-4622.335697511473,101,tagged_csv,"D,101,1155104,-211676.00"
1775220305104060050,73839.892376710,1165104,-211889.0,-4616.147312674293,102,tagged_csv,"D,102,1165104,-211889.00"
1775220305113995224,73839.902308080,1175104,-211899.0,-4610.915943017462,103,tagged_csv,"D,103,1175104,-211899.00"
1775220305124006667,73839.912319436,1185104,-212280.0,-4628.517566745111,104,tagged_csv,"D,104,1185104,-212280.00"
1775220305134078323,73839.922391131,1195104,-212340.0,-4648.625672133756,105,tagged_csv,"D,105,1195104,-212340.00"
1775220305144180866,73839.932510028,1205104,-212419.0,-4672.215313062217,106,tagged_csv,"D,106,1205104,-212419.00"
1775220305159200287,73839.947512836,1220104,-212394.0,-4702.398848745826,107,tagged_csv,"D,107,1220104,-212394.00"
1775220305169312506,73839.957626312,1230104,-212409.0,-4722.218385446409,108,tagged_csv,"D,108,1230104,-212409.00"
1775220305179317208,73839.967629406,1240104,-212299.0,-4734.36332900016,109,tagged_csv,"D,109,1240104,-212299.00"
1775220305189326412,73839.977641099,1250104,-211873.0,-4720.606283788744,110,tagged_csv,"D,110,1250104,-211873.00"
1775220305199280665,73839.987594436,1260104,-211863.0,-4707.071345312288,111,tagged_csv,"D,111,1260104,-211863.00"
1775220305209238001,73839.997552554,1270104,-211813.0,-4691.380687301018,112,tagged_csv,"D,112,1270104,-211813.00"
1775220305219271289,73840.007584706,1280104,-211901.0,-4681.819951130397,113,tagged_csv,"D,113,1280104,-211901.00"
1775220305234333927,73840.022646654,1295104,-211905.0,-4669.058569843881,114,tagged_csv,"D,114,1295104,-211905.00"
1775220305244486673,73840.032799223,1305104,-212015.0,-4667.5568424710655,115,tagged_csv,"D,115,1305104,-212015.00"
1775220305254414986,73840.042728012,1315104,-211470.0,-4633.924911706446,116,tagged_csv,"D,116,1315104,-211470.00"
1775220305264744445,73840.053062738,1325104,-211263.0,-4590.043911889137,117,tagged_csv,"D,117,1325104,-211263.00"
1775220305274660969,73840.062975848,1335104,-210882.0,-4526.233314152865,118,tagged_csv,"D,118,1335104,-210882.00"
1775220305284537017,73840.072850278,1345104,-210461.0,-4441.30660856099,119,tagged_csv,"D,119,1345104,-210461.00"
1775220305299685463,73840.087999368,1360104,-210032.0,-4287.938825717778,120,tagged_csv,"D,120,1360104,-210032.00"
1775220305309752351,73840.098068158,1370104,-209310.0,-4149.055345651432,121,tagged_csv,"D,121,1370104,-209310.00"
1775220305319685772,73840.107998180,1380104,-208302.0,-3958.7919588529912,122,tagged_csv,"D,122,1380104,-208302.00"
1775220305329661308,73840.117974189,1390104,-208751.0,-3806.3201597618754,123,tagged_csv,"D,123,1390104,-208751.00"
1775220305339639656,73840.127952978,1400104,-209695.0,-3718.6689198012755,124,tagged_csv,"D,124,1400104,-209695.00"
1775220305349739191,73840.138052190,1410104,-209327.0,-3614.4441907711443,125,tagged_csv,"D,125,1410104,-209327.00"
1775220305359797376,73840.148113333,1420104,-209333.0,-3516.735660854989,126,tagged_csv,"D,126,1420104,-209333.00"
1775220305374867174,73840.163182042,1435104,-209244.0,-3375.1307609895593,127,tagged_csv,"D,127,1435104,-209244.00"
1775220305384927632,73840.173241408,1445104,-209496.0,-3301.2059539979673,128,tagged_csv,"D,128,1445104,-209496.00"
1775220305395091904,73840.183411759,1455104,-209666.0,-3241.701346767193,129,tagged_csv,"D,129,1455104,-209666.00"
1775220305404994509,73840.193305429,1465104,-209990.0,-3204.8685338228242,130,tagged_csv,"D,130,1465104,-209990.00"
1775220305415021096,73840.203337794,1475104,-210107.0,-3177.1299164208467,131,tagged_csv,"D,131,1475104,-210107.00"
1775220305425003089,73840.213318750,1485104,-210086.0,-3149.789668542042,132,tagged_csv,"D,132,1485104,-210086.00"
1775220305439970268,73840.228282929,1500104,-210207.0,-3122.733282376663,133,tagged_csv,"D,133,1500104,-210207.00"
1775220305450079252,73840.238391177,1510104,-210001.0,-3093.583843149594,134,tagged_csv,"D,134,1510104,-210001.00"
1775220305460059403,73840.248372550,1520104,-210072.0,-3070.354978124873,135,tagged_csv,"D,135,1520104,-210072.00"
1775220305470083990,73840.258395415,1530104,-209973.0,-3042.64672079921,136,tagged_csv,"D,136,1530104,-209973.00"
1775220305480222247,73840.268535802,1540112,-209897.0,-3012.0605773557036,137,tagged_csv,"D,137,1540112,-209897.00"
1775220305490045248,73840.278356810,1550104,-209605.0,-2966.077970129787,138,tagged_csv,"D,138,1550104,-209605.00"
1775220305500272034,73840.288586673,1560104,-209567.0,-2920.5326347684604,139,tagged_csv,"D,139,1560104,-209567.00"
1775220305515361977,73840.303675716,1575104,-209362.0,-2840.4421840544674,140,tagged_csv,"D,140,1575104,-209362.00"
1775220305525459584,73840.313780282,1585104,-209311.0,-2787.1900556463806,141,tagged_csv,"D,141,1585104,-209311.00"
1775220305535315322,73840.323625774,1595104,-209032.0,-2720.5923005917575,142,tagged_csv,"D,142,1595104,-209032.00"
1775220305545562315,73840.333878874,1605104,-208752.0,-2641.3787602077355,143,tagged_csv,"D,143,1605104,-208752.00"
1775220305555499156,73840.343813244,1615104,-208461.0,-2549.6449555178115,144,tagged_csv,"D,144,1615104,-208461.00"
1775220305565483379,73840.353797267,1625104,-208323.0,-2455.176013771619,145,tagged_csv,"D,145,1625104,-208323.00"
1775220305580659906,73840.368982446,1640104,-208291.0,-2322.9213779718557,146,tagged_csv,"D,146,1640104,-208291.00"
1775220305590602644,73840.378916613,1650104,-208027.0,-2224.3569944261108,147,tagged_csv,"D,147,1650104,-208027.00"
1775220305600574120,73840.388887144,1660104,-208050.0,-2132.979180857219,148,tagged_csv,"D,148,1660104,-208050.00"
1775220305610563797,73840.398876785,1670104,-207882.0,-2037.071663040202,149,tagged_csv,"D,149,1670104,-207882.00"
1775220305620678555,73840.408989781,1680104,-207907.0,-1948.311883007671,150,tagged_csv,"D,150,1680104,-207907.00"
1775220305630794373,73840.419107771,1690104,-207763.0,-1856.2864449365588,151,tagged_csv,"D,151,1690104,-207763.00"
1775220305640732545,73840.429044394,1700104,-207866.0,-1775.7904031991493,152,tagged_csv,"D,152,1700104,-207866.00"
1775220305655846650,73840.444160868,1715104,-207972.0,-1674.5758519506198,153,tagged_csv,"D,153,1715104,-207972.00"
1775220305665878547,73840.454191706,1725104,-208159.0,-1622.1434650085575,154,tagged_csv,"D,154,1725104,-208159.00"
1775220305676018790,73840.464336502,1735104,-209076.0,-1627.0213977782696,155,tagged_csv,"D,155,1735104,-209076.00"
1775220305685878365,73840.474189419,1745104,-209536.0,-1658.804962680937,156,tagged_csv,"D,156,1745104,-209536.00"
1775220305696136669,73840.484451909,1755104,-209453.0,-1683.8028219574771,157,tagged_csv,"D,157,1755104,-209453.00"
1775220305705950265,73840.494262042,1765104,-209390.0,-1703.5984768131457,158,tagged_csv,"D,158,1765104,-209390.00"
1775220305721046575,73840.509358500,1780104,-209357.0,-1727.892156957474,159,tagged_csv,"D,159,1780104,-209357.00"
1775220305731126808,73840.519440486,1790104,-208855.0,-1713.4535574416514,160,tagged_csv,"D,160,1790104,-208855.00"
1775220305740974044,73840.529284677,1800104,-208188.0,-1660.4372262582765,161,tagged_csv,"D,161,1800104,-208188.00"
1775220305751023721,73840.539336131,1810104,-207164.0,-1550.0188676160178,162,tagged_csv,"D,162,1810104,-207164.00"
1775220305761046364,73840.549364027,1820104,-206631.0,-1414.6185821300314,163,tagged_csv,"D,163,1820104,-206631.00"
1775220305771061415,73840.559369796,1830104,-206471.0,-1277.7640255441656,164,tagged_csv,"D,164,1830104,-206471.00"
1775220305781186937,73840.569498634,1840104,-206649.0,-1159.5228509163426,165,tagged_csv,"D,165,1840104,-206649.00"
1775220305796270155,73840.584584766,1855104,-206617.0,-994.6811265366268,166,tagged_csv,"D,166,1855104,-206617.00"
1775220305806240679,73840.594549325,1865104,-206844.0,-904.7029686595197,167,tagged_csv,"D,167,1865104,-206844.00"
