host_unix_time_ns,lsl_timestamp_s,device_clock_us,value_raw,value_filtered,sequence,parser_mode,raw_line
1775220363313176977,73898.101486142,530104,-205248.0,0.0,43,tagged_csv,"D,43,530104,-205248.00"
1775220363322442642,73898.110752285,540104,-205107.0,8.325091420847457,44,tagged_csv,"D,44,540104,-205107.00"
1775220363332618706,73898.120929371,550104,-205226.0,9.121435628563631,45,tagged_csv,"D,45,550104,-205226.00"
1775220363342713976,73898.131032349,560104,-205130.0,15.53723224249552,46,tagged_csv,"D,46,560104,-205130.00"
1775220363352736342,73898.141048323,570104,-205136.0,21.210755466716364,47,tagged_csv,"D,47,570104,-205136.00"
1775220363362772902,73898.151091880,580104,-204933.0,38.52637127149501,48,tagged_csv,"D,48,580104,-204933.00"
1775220363377832482,73898.166159625,595104,-205158.0,42.868963503075065,49,tagged_csv,"D,49,595104,-205158.00"
1775220363387829372,73898.176142350,605104,-205235.0,41.03995059535373,50,tagged_csv,"D,50,605104,-205235.00"
1775220363397803908,73898.186116045,615104,-205324.0,34.063334051694255,51,tagged_csv,"D,51,615104,-205324.00"
1775220363407939437,73898.196252271,625104,-205334.0,26.91443598206388,52,tagged_csv,"D,52,625104,-205334.00"
1775220363417760507,73898.206090595,635104,-205448.0,13.463682118745055,53,tagged_csv,"D,53,635104,-205448.00"
1775220363427937150,73898.216248213,645104,-205664.0,-11.930345159140415,54,tagged_csv,"D,54,645104,-205664.00"
1775220363437982998,73898.226295532,655104,-205467.0,-24.160760849365033,55,tagged_csv,"D,55,655104,-205467.00"
1775220363452994156,73898.241311281,670104,-205460.0,-40.289037149254,56,tagged_csv,"D,56,670104,-205460.00"
1775220363462998480,73898.251310859,680104,-205326.0,-42.47810504460358,57,tagged_csv,"D,57,680104,-205326.00"
1775220363472883403,73898.261194957,690104,-205358.0,-46.42140670155641,58,tagged_csv,"D,58,690104,-205358.00"
1775220363482939053,73898.271248961,700104,-205186.0,-39.96805917780148,59,tagged_csv,"D,59,700104,-205186.00"
1775220363493004579,73898.281329061,710104,-205320.0,-41.81266083518858,60,tagged_csv,"D,60,710104,-205320.00"
1775220363502956991,73898.291268804,720104,-205328.0,-44.01527950508171,61,tagged_csv,"D,61,720104,-205328.00"
1775220363518118214,73898.306430122,735104,-205472.0,-59.40124046159326,62,tagged_csv,"D,62,735104,-205472.00"
1775220363528121091,73898.316433284,745104,-205439.0,-67.1715212725976,63,tagged_csv,"D,63,745104,-205439.00"
1775220363538129619,73898.326451456,755104,-205468.0,-76.1968478304625,64,tagged_csv,"D,64,755104,-205468.00"
1775220363548175976,73898.336487301,765104,-205318.0,-75.82101095491089,65,tagged_csv,"D,65,765104,-205318.00"
1775220363558264644,73898.346578654,775104,-205190.0,-67.90036570475786,66,tagged_csv,"D,66,775104,-205190.00"
1775220363568244442,73898.356556709,785104,-205321.0,-68.19234745271388,67,tagged_csv,"D,67,785104,-205321.00"
1775220363578408593,73898.366722716,795104,-205100.0,-55.40212316499674,68,tagged_csv,"D,68,795104,-205100.00"
1775220363593373669,73898.381686191,810104,-205192.0,-45.79320194659522,69,tagged_csv,"D,69,810104,-205192.00"
1775220363603394989,73898.391707275,820104,-205055.0,-31.66687396125053,70,tagged_csv,"D,70,820104,-205055.00"
1775220363613467004,73898.401779534,830104,-205163.0,-24.760336645529605,71,tagged_csv,"D,71,830104,-205163.00"
1775220363623478207,73898.411793685,840104,-205032.0,-10.517716776375892,72,tagged_csv,"D,72,840104,-205032.00"
1775220363633350611,73898.421660374,850104,-204966.0,6.784664704522584,73,tagged_csv,"D,73,850104,-204966.00"
1775220363643670028,73898.431983494,860104,-204880.0,28.148270602716366,74,tagged_csv,"D,74,860104,-204880.00"
1775220363658603383,73898.446916339,875104,-205089.0,39.432390286936425,75,tagged_csv,"D,75,875104,-205089.00"
1775220363668607012,73898.456919844,885104,-205116.0,44.91424182004994,76,tagged_csv,"D,76,885104,-205116.00"
1775220363678576102,73898.466884255,895104,-205042.0,54.44670796804712,77,tagged_csv,"D,77,895104,-205042.00"
1775220363688643736,73898.476955533,905104,-205106.0,59.63212608991307,78,tagged_csv,"D,78,905104,-205106.00"
1775220363698582948,73898.486894372,915104,-205090.0,65.4568741468247,79,tagged_csv,"D,79,915104,-205090.00"
1775220363708690185,73898.497010546,925104,-205316.0,57.576746436039684,80,tagged_csv,"D,80,925104,-205316.00"
1775220363718629727,73898.506940366,935104,-205416.0,44.250731622829335,81,tagged_csv,"D,81,935104,-205416.00"
1775220363733881744,73898.522194439,950104,-205692.0,2.207272191415541,82,tagged_csv,"D,82,950104,-205692.00"
1775220363744037600,73898.532353508,960104,-205626.0,-20.260342833935283,83,tagged_csv,"D,83,960104,-205626.00"
1775220363753836697,73898.542148814,970104,-205788.0,-50.976749317807844,84,tagged_csv,"D,84,970104,-205788.00"
1775220363763871173,73898.552182878,980104,-205585.0,-67.87645011092536,85,tagged_csv,"D,85,980104,-205585.00"
1775220363774484740,73898.562807834,990104,-205719.0,-91.69881583281676,86,tagged_csv,"D,86,990104,-205719.00"
1775220363784157884,73898.572470055,1000104,-205669.0,-111.15699542022776,87,tagged_csv,"D,87,1000104,-205669.00"
1775220363799014407,73898.587326986,1015104,-205705.0,-140.93104664896964,88,tagged_csv,"D,88,1015104,-205705.00"
1775220363809162023,73898.597473877,1025104,-205782.0,-164.15901079119067,89,tagged_csv,"D,89,1025104,-205782.00"
1775220363819219492,73898.607535961,1035104,-205709.0,-181.69822813221253,90,tagged_csv,"D,90,1035104,-205709.00"
1775220363829213880,73898.617527185,1045104,-205807.0,-203.99407754014828,91,tagged_csv,"D,91,1045104,-205807.00"
1775220363839281150,73898.627594890,1055104,-205622.0,-214.03513583060703,92,tagged_csv,"D,92,1055104,-205622.00"
1775220363849309799,73898.637624109,1065104,-205722.0,-229.39433263154933,93,tagged_csv,"D,93,1065104,-205722.00"
1775220363859274197,73898.647588552,1075104,-205615.0,-237.5199721645622,94,tagged_csv,"D,94,1075104,-205615.00"
1775220363874320144,73898.662633171,1090104,-205790.0,-263.7314219526015,95,tagged_csv,"D,95,1090104,-205790.00"
1775220363884525743,73898.672842329,1100104,-205598.0,-268.8221463727241,96,tagged_csv,"D,96,1100104,-205598.00"
1775220363894468284,73898.682787572,1110104,-205751.0,-282.6568822226254,97,tagged_csv,"D,97,1110104,-205751.00"
1775220363904469343,73898.692783848,1120104,-205681.0,-291.5355266738625,98,tagged_csv,"D,98,1120104,-205681.00"
1775220363914689620,73898.703008951,1130104,-205581.0,-293.9775490281463,99,tagged_csv,"D,99,1130104,-205581.00"
1775220363924666126,73898.712978578,1140104,-205471.0,-289.7722916577768,100,tagged_csv,"D,100,1140104,-205471.00"
1775220363939771027,73898.728085214,1155104,-205444.0,-281.6821896992042,101,tagged_csv,"D,101,1155104,-205444.00"
1775220363949602285,73898.737914257,1165104,-205427.0,-275.6026364855352,102,tagged_csv,"D,102,1165104,-205427.00"
1775220363959828677,73898.748147458,1175104,-205342.0,-264.857511852897,103,tagged_csv,"D,103,1175104,-205342.00"
1775220363969604679,73898.757912871,1185104,-205421.0,-259.41788542162976,104,tagged_csv,"D,104,1185104,-205421.00"
1775220363979753134,73898.768065457,1195104,-205264.0,-245.0184041496832,105,tagged_csv,"D,105,1195104,-205264.00"
1775220363989785512,73898.778097502,1205104,-205428.0,-241.1654359154927,106,tagged_csv,"D,106,1205104,-205428.00"
1775220363999708433,73898.788018863,1215104,-205336.0,-232.10144457110437,107,tagged_csv,"D,107,1215104,-205336.00"
1775220364014881843,73898.803194537,1230104,-205434.0,-228.11724218449672,108,tagged_csv,"D,108,1230104,-205434.00"
1775220364025066557,73898.813387592,1240104,-205425.0,-225.08607446710812,109,tagged_csv,"D,109,1240104,-205425.00"
1775220364035000059,73898.823313431,1250104,-205469.0,-224.83526698380592,110,tagged_csv,"D,110,1250104,-205469.00"
1775220364045045378,73898.833358838,1260104,-205339.0,-216.9140249187476,111,tagged_csv,"D,111,1260104,-205339.00"
1775220364055063555,73898.843377863,1270104,-205367.0,-211.11635319745983,112,tagged_csv,"D,112,1270104,-205367.00"
1775220364065031892,73898.853344938,1280104,-205456.0,-210.9228731118783,113,tagged_csv,"D,113,1280104,-205456.00"
1775220364080239306,73898.868553043,1295104,-205419.0,-207.47083231795114,114,tagged_csv,"D,114,1295104,-205419.00"
1775220364090252462,73898.878565735,1305104,-205480.0,-208.91168347769417,115,tagged_csv,"D,115,1305104,-205480.00"
1775220364100113663,73898.888425057,1315104,-205265.0,-197.55711481679464,116,tagged_csv,"D,116,1315104,-205265.00"
1775220364110293397,73898.898607071,1325104,-205438.0,-197.10110846161842,117,tagged_csv,"D,117,1325104,-205438.00"
1775220364120341214,73898.908653895,1335104,-205422.0,-195.72618165629683,118,tagged_csv,"D,118,1335104,-205422.00"
1775220364130234492,73898.918552098,1345104,-205600.0,-204.95543369001825,119,tagged_csv,"D,119,1345104,-205600.00"
1775220364145344590,73898.933657848,1360104,-205380.0,-198.6582918620843,120,tagged_csv,"D,120,1360104,-205380.00"
1775220364155595623,73898.943920119,1370104,-205546.0,-204.52186570956837,121,tagged_csv,"D,121,1370104,-205546.00"
1775220364165264365,73898.953577905,1380104,-205407.0,-201.82148208707804,122,tagged_csv,"D,122,1380104,-205407.00"
1775220364175490771,73898.963804019,1390104,-205419.0,-199.99014688574243,123,tagged_csv,"D,123,1390104,-205419.00"
1775220364185455664,73898.973770530,1400104,-205323.0,-192.59180530096637,124,tagged_csv,"D,124,1400104,-205323.00"
1775220364195543087,73898.983857386,1410104,-205388.0,-189.47346524975728,125,tagged_csv,"D,125,1410104,-205388.00"
1775220364205454581,73898.993767218,1420104,-205496.0,-192.9241522704251,126,tagged_csv,"D,126,1420104,-205496.00"
1775220364220571339,73899.008887838,1435104,-205433.0,-192.22816768771736,127,tagged_csv,"D,127,1435104,-205433.00"
1775220364230617427,73899.018931489,1445104,-205582.0,-200.6001000495162,128,tagged_csv,"D,128,1445104,-205582.00"
1775220364240850902,73899.029172496,1455104,-205410.0,-198.30891319856164,129,tagged_csv,"D,129,1455104,-205410.00"
