host_unix_time_ns,lsl_timestamp_s,seq,device_clock_us,target_raw_count,target_current_units,target_filtered_units,target_status,raw_line
1778637419024803550,51717.617662169,44,537604,-210797.0,-210797.0,-210797.0,2,"D2,44,537604,-210797,-210797.000000,2"
1778637419036857699,51717.632662169,45,552604,-210760.0,-210760.0,-210792.14906172306,2,"D2,45,552604,-210760,-210760.000000,2"
1778637419047016903,51717.642662169,46,562604,-210783.0,-210783.0,-210781.8351541394,2,"D2,46,562604,-210783,-210783.000000,2"
1778637419056883532,51717.652662169,47,572604,-210699.0,-210699.0,-210765.61004053097,2,"D2,47,572604,-210699,-210699.000000,2"
1778637419066837628,51717.662662169,48,582604,-210589.0,-210589.0,-210722.85253369252,2,"D2,48,582604,-210589,-210589.000000,2"
1778637419077044698,51717.672662169,49,592604,-210429.0,-210429.0,-210634.46226296184,2,"D2,49,592604,-210429,-210429.000000,2"
1778637419086937230,51717.682662169,50,602604,-210352.0,-210352.0,-210513.5332420782,2,"D2,50,602604,-210352,-210352.000000,2"
1778637419096942829,51717.692662169,51,612604,-210182.0,-210182.0,-210383.70946406454,2,"D2,51,612604,-210182,-210182.000000,2"
1778637419112035229,51717.707662169,52,627604,-209976.0,-209976.0,-210237.8680216304,2,"D2,52,627604,-209976,-209976.000000,2"
1778637419122113457,51717.717662169,53,637604,-210017.0,-210017.0,-210093.22075691484,2,"D2,53,637604,-210017,-210017.000000,2"
1778637419132035913,51717.727662169,54,647604,-210041.0,-210041.0,-210011.64467290323,2,"D2,54,647604,-210041,-210041.000000,2"
1778637419142064128,51717.737662169,55,657604,-209925.0,-209925.0,-209986.47823238245,2,"D2,55,657604,-209925,-209925.000000,2"
1778637419152110126,51717.747662169,56,667604,-209670.0,-209670.0,-209929.16298746975,2,"D2,56,667604,-209670,-209670.000000,2"
1778637419162162890,51717.757662169,57,677604,-209688.0,-209688.0,-209813.44123314958,2,"D2,57,677604,-209688,-209688.000000,2"
1778637419177242388,51717.772662169,58,692604,-209655.0,-209655.0,-209709.469000557,2,"D2,58,692604,-209655,-209655.000000,2"
1778637419187435480,51717.782662169,59,702604,-209680.0,-209680.0,-209660.20543223564,2,"D2,59,702604,-209680,-209680.000000,2"
1778637419197375317,51717.792662169,60,712604,-209830.0,-209830.0,-209673.5642392697,2,"D2,60,712604,-209830,-209830.000000,2"
1778637419207402100,51717.802662169,61,722604,-210015.0,-210015.0,-209763.82837415425,2,"D2,61,722604,-210015,-210015.000000,2"
1778637419217388166,51717.812662169,62,732604,-210022.0,-210022.0,-209896.78354441436,2,"D2,62,732604,-210022,-210022.000000,2"
1778637419227365660,51717.822662169,63,742604,-210056.0,-210056.0,-210002.1825365545,2,"D2,63,742604,-210056,-210056.000000,2"
1778637419242481260,51717.837662169,64,757604,-210024.0,-210024.0,-210050.4439557735,2,"D2,64,757604,-210024,-210024.000000,2"
1778637419252575195,51717.847662169,65,767604,-209959.0,-209959.0,-210045.387030898,2,"D2,65,767604,-209959,-209959.000000,2"
1778637419262567824,51717.857662169,66,777604,-210147.0,-210147.0,-210031.87680540181,2,"D2,66,777604,-210147,-210147.000000,2"
1778637419272624178,51717.867662169,67,787604,-210008.0,-210008.0,-210045.70088313665,2,"D2,67,787604,-210008,-210008.000000,2"
1778637419282658657,51717.877662169,68,797604,-209850.0,-209850.0,-210027.20166696163,2,"D2,68,797604,-209850,-209850.000000,2"
1778637419292564687,51717.887662169,69,807604,-209652.0,-209652.0,-209923.99252757168,2,"D2,69,807604,-209652,-209652.000000,2"
1778637419302594030,51717.897662169,70,817604,-209621.0,-209621.0,-209775.15234567004,2,"D2,70,817604,-209621,-209621.000000,2"
1778637419317637715,51717.912662169,71,832604,-209563.0,-209563.0,-209650.2544899328,2,"D2,71,832604,-209563,-209563.000000,2"
1778637419327687362,51717.922662169,72,842604,-209686.0,-209686.0,-209594.22719134387,2,"D2,72,842604,-209686,-209686.000000,2"
1778637419337692587,51717.932662169,73,852604,-209653.0,-209653.0,-209606.65114400556,2,"D2,73,852604,-209653,-209653.000000,2"
1778637419347674437,51717.942662169,74,862604,-209623.0,-209623.0,-209634.73298284243,2,"D2,74,862604,-209623,-209623.000000,2"
1778637419357787510,51717.952662169,75,872604,-209698.0,-209698.0,-209649.9903766092,2,"D2,75,872604,-209698,-209698.000000,2"
1778637419367801194,51717.962662169,76,882604,-209824.0,-209824.0,-209686.00757876007,2,"D2,76,882604,-209824,-209824.000000,2"
1778637419382882557,51717.977662169,77,897604,-210163.0,-210163.0,-209796.10445124703,2,"D2,77,897604,-210163,-210163.000000,2"
1778637419392942268,51717.987662169,78,907604,-210284.0,-210284.0,-209989.90273752803,2,"D2,78,907604,-210284,-210284.000000,2"
1778637419402971910,51717.997662169,79,917604,-210221.0,-210221.0,-210172.76612134103,2,"D2,79,917604,-210221,-210221.000000,2"
1778637419413056771,51718.007662169,80,927604,-210030.0,-210030.0,-210231.05773016246,2,"D2,80,927604,-210030,-210030.000000,2"
1778637419423094142,51718.017662169,81,937604,-209909.0,-209909.0,-210150.6631747562,2,"D2,81,937604,-209909,-209909.000000,2"
1778637419433081418,51718.027662169,82,947604,-209584.0,-209584.0,-209975.2984680988,2,"D2,82,947604,-209584,-209584.000000,2"
1778637419448147590,51718.042662169,83,962604,-209494.0,-209494.0,-209753.16459235316,2,"D2,83,962604,-209494,-209494.000000,2"
1778637419458222142,51718.052662169,84,972604,-209449.0,-209449.0,-209562.68363472878,2,"D2,84,972604,-209449,-209449.000000,2"
1778637419468195351,51718.062662169,85,982604,-209450.0,-209450.0,-209457.244142405,2,"D2,85,982604,-209450,-209450.000000,2"
1778637419478245683,51718.072662169,86,992604,-209542.0,-209542.0,-209436.67360869577,2,"D2,86,992604,-209542,-209542.000000,2"
1778637419488290405,51718.082662169,87,1002604,-209612.0,-209612.0,-209483.42553323353,2,"D2,87,1002604,-209612,-209612.000000,2"
1778637419498348158,51718.092662169,88,1012604,-209747.0,-209747.0,-209572.10178647173,2,"D2,88,1012604,-209747,-209747.000000,2"
1778637419508331703,51718.102662169,89,1022604,-209838.0,-209838.0,-209682.19323237985,2,"D2,89,1022604,-209838,-209838.000000,2"
1778637419523346123,51718.117662169,90,1037604,-209901.0,-209901.0,-209790.19987064652,2,"D2,90,1037604,-209901,-209901.000000,2"
1778637419533355317,51718.127662169,91,1047604,-209932.0,-209932.0,-209873.51192690775,2,"D2,91,1047604,-209932,-209932.000000,2"
1778637419543484237,51718.137662169,92,1057604,-209937.0,-209937.0,-209923.45459785633,2,"D2,92,1057604,-209937,-209937.000000,2"
1778637419553633884,51718.147662169,93,1067604,-209803.0,-209803.0,-209925.92950158913,2,"D2,93,1067604,-209803,-209803.000000,2"
1778637419563403482,51718.157662169,94,1077604,-209861.0,-209861.0,-209887.30824656278,2,"D2,94,1077604,-209861,-209861.000000,2"
1778637419573529790,51718.167662169,95,1087604,-209859.0,-209859.0,-209855.13185543905,2,"D2,95,1087604,-209859,-209859.000000,2"
1778637419588633948,51718.182662169,96,1102604,-209861.0,-209861.0,-209848.92594153617,2,"D2,96,1102604,-209861,-209861.000000,2"
1778637419598543267,51718.192662169,97,1112604,-209792.0,-209792.0,-209844.2599891164,2,"D2,97,1112604,-209792,-209792.000000,2"
1778637419608562748,51718.202662169,98,1122604,-209810.0,-209810.0,-209826.9896229483,2,"D2,98,1122604,-209810,-209810.000000,2"
1778637419618628786,51718.212662169,99,1132604,-209716.0,-209716.0,-209798.69465410212,2,"D2,99,1132604,-209716,-209716.000000,2"
1778637419628713178,51718.222662169,100,1142604,-209691.0,-209691.0,-209756.67147847044,2,"D2,100,1142604,-209691,-209691.000000,2"
1778637419638728733,51718.232662169,101,1152604,-209678.0,-209678.0,-209712.36560461816,2,"D2,101,1152604,-209678,-209678.000000,2"
1778637419648756010,51718.242662169,102,1162604,-209685.0,-209685.0,-209684.9048044078,2,"D2,102,1162604,-209685,-209685.000000,2"
1778637419663884605,51718.257662169,103,1177604,-209739.0,-209739.0,-209683.64149007996,2,"D2,103,1177604,-209739,-209739.000000,2"
1778637419673987427,51718.267662169,104,1187604,-209676.0,-209676.0,-209696.9895721972,2,"D2,104,1187604,-209676,-209676.000000,2"
1778637419684032169,51718.277662169,105,1197604,-209742.0,-209742.0,-209706.5283779468,2,"D2,105,1197604,-209742,-209742.000000,2"
1778637419694065461,51718.287662169,106,1207604,-209645.0,-209645.0,-209706.3568659972,2,"D2,106,1207604,-209645,-209645.000000,2"
1778637419704089836,51718.297662169,107,1217604,-209414.0,-209414.0,-209656.5647938723,2,"D2,107,1217604,-209414,-209414.000000,2"
