host_unix_time_ns,lsl_timestamp_s,seq,device_clock_us,target_raw_count,target_current_units,target_filtered_units,target_status,raw_line
1778637484431972312,51783.024831058,44,537604,-191689.0,-191689.0,-191689.0,2,"D2,44,537604,-191689,-191689.000000,2"
1778637484432280904,51783.034831058,45,547604,-190920.0,-190920.0,-191588.17914770413,2,"D2,45,547604,-190920,-190920.000000,2"
1778637484444988849,51783.049831058,46,562604,-189667.0,-189667.0,-191146.86833160714,2,"D2,46,562604,-189667,-189667.000000,2"
1778637484455027278,51783.059831058,47,572604,-188396.0,-188396.0,-190248.2959452697,2,"D2,47,572604,-188396,-188396.000000,2"
1778637484465044265,51783.069831058,48,582604,-187359.0,-187359.0,-189062.97831761691,2,"D2,48,582604,-187359,-187359.000000,2"
1778637484474975808,51783.079831058,49,592604,-186858.0,-186858.0,-187916.98008130776,2,"D2,49,592604,-186858,-186858.000000,2"
1778637484485022354,51783.089831058,50,602604,-186421.0,-186421.0,-187058.05662109185,2,"D2,50,602604,-186421,-186421.000000,2"
1778637484495096772,51783.099831058,51,612604,-186027.0,-186027.0,-186495.79349913658,2,"D2,51,612604,-186027,-186027.000000,2"
1778637484510084220,51783.114831058,52,627604,-185704.0,-185704.0,-186106.19824861863,2,"D2,52,627604,-185704,-185704.000000,2"
1778637484520105518,51783.124831058,53,637604,-185448.0,-185448.0,-185798.00561108906,2,"D2,53,637604,-185448,-185448.000000,2"
1778637484530330325,51783.134831058,54,647604,-185507.0,-185507.0,-185571.8575414858,2,"D2,54,647604,-185507,-185507.000000,2"
1778637484540344103,51783.144831058,55,657604,-185386.0,-185386.0,-185452.6845341081,2,"D2,55,657604,-185386,-185386.000000,2"
1778637484550419924,51783.154831058,56,667604,-185412.0,-185412.0,-185404.54542051256,2,"D2,56,667604,-185412,-185412.000000,2"
1778637484560287617,51783.164831058,57,677604,-185847.0,-185847.0,-185448.97314212995,2,"D2,57,677604,-185847,-185847.000000,2"
1778637484575365894,51783.179831058,58,692604,-186728.0,-186728.0,-185728.27604112113,2,"D2,58,692604,-186728,-186728.000000,2"
1778637484585389813,51783.189831058,59,702604,-187695.0,-187695.0,-186339.86261285696,2,"D2,59,702604,-187695,-187695.000000,2"
1778637484595337656,51783.199831058,60,712604,-188477.0,-188477.0,-187192.75987583815,2,"D2,60,712604,-188477,-188477.000000,2"
1778637484605291940,51783.209831058,61,722604,-188950.0,-188950.0,-188057.9079641105,2,"D2,61,722604,-188950,-188950.000000,2"
1778637484615357961,51783.219831058,62,732604,-189244.0,-189244.0,-188737.7821881242,2,"D2,62,732604,-189244,-189244.000000,2"
1778637484625498150,51783.229831058,63,742604,-190031.0,-190031.0,-189252.96324323944,2,"D2,63,742604,-190031,-190031.000000,2"
1778637484635462590,51783.239831058,64,752604,-191066.0,-191066.0,-189833.7401364897,2,"D2,64,752604,-191066,-191066.000000,2"
1778637484650495987,51783.254831058,65,767604,-192211.0,-192211.0,-190652.48680585282,2,"D2,65,767604,-192211,-192211.000000,2"
1778637484660522894,51783.264831058,66,777604,-193444.0,-193444.0,-191704.22371213336,2,"D2,66,777604,-193444,-193444.000000,2"
1778637484670478411,51783.274831058,67,787604,-194947.0,-194947.0,-192938.30444898165,2,"D2,67,787604,-194947,-194947.000000,2"
1778637484680610433,51783.284831058,68,797604,-196218.0,-196218.0,-194297.2346563781,2,"D2,68,797604,-196218,-196218.000000,2"
1778637484690646078,51783.294831058,69,807604,-197232.0,-197232.0,-195640.76022784036,2,"D2,69,807604,-197232,-197232.000000,2"
1778637484700667945,51783.304831058,70,817604,-197756.0,-197756.0,-196776.73292864382,2,"D2,70,817604,-197756,-197756.000000,2"
1778637484715744749,51783.319831058,71,832604,-197759.0,-197759.0,-197531.20808949333,2,"D2,71,832604,-197759,-197759.000000,2"
1778637484725808003,51783.329831058,72,842604,-197716.0,-197716.0,-197850.0165480471,2,"D2,72,842604,-197716,-197716.000000,2"
1778637484735800458,51783.339831058,73,852604,-198005.0,-198005.0,-197910.0465808371,2,"D2,73,852604,-198005,-198005.000000,2"
1778637484745769657,51783.349831058,74,862604,-198814.0,-198814.0,-198044.35902022076,2,"D2,74,862604,-198814,-198814.000000,2"
1778637484756226419,51783.359831058,75,872604,-200054.0,-200054.0,-198541.04730366537,2,"D2,75,872604,-200054,-200054.000000,2"
