host_unix_time_ns,lsl_timestamp_s,seq,device_clock_us,target_raw_count,target_current_units,target_filtered_units,target_status,raw_line
1778637524357830451,51822.950690405,44,537604,-203966.0,-203966.0,-203966.0,2,"D2,44,537604,-203966,-203966.000000,2"
1778637524366732415,51822.960690405,45,547604,-203816.0,-203816.0,-203946.3340340125,2,"D2,45,547604,-203816,-203816.000000,2"
1778637524381799741,51822.975690405,46,562604,-203809.0,-203809.0,-203891.37836041267,2,"D2,46,562604,-203809,-203809.000000,2"
1778637524391668042,51822.985690405,47,572604,-203756.0,-203756.0,-203827.1863746594,2,"D2,47,572604,-203756,-203756.000000,2"
1778637524401727074,51822.995690405,48,582604,-203736.0,-203736.0,-203776.70690115087,2,"D2,48,582604,-203736,-203736.000000,2"
1778637524411814197,51823.005690405,49,592604,-203607.0,-203607.0,-203727.3272848926,2,"D2,49,592604,-203607,-203607.000000,2"
1778637524421811011,51823.015690405,50,602604,-203740.0,-203740.0,-203685.1325751878,2,"D2,50,602604,-203740,-203740.000000,2"
1778637524431849756,51823.025690405,51,612604,-203765.0,-203765.0,-203688.2609403318,2,"D2,51,612604,-203765,-203765.000000,2"
1778637524446849503,51823.040690405,52,627604,-203770.0,-203770.0,-203726.7343389195,2,"D2,52,627604,-203770,-203770.000000,2"
1778637524456892768,51823.050690405,53,637604,-203749.0,-203749.0,-203756.48823246956,2,"D2,53,637604,-203749,-203749.000000,2"
1778637524466965902,51823.060690405,54,647604,-203701.0,-203701.0,-203757.12079087616,2,"D2,54,647604,-203701,-203701.000000,2"
1778637524477025552,51823.070690405,55,657604,-203701.0,-203701.0,-203734.1549034512,2,"D2,55,657604,-203701,-203701.000000,2"
1778637524486975003,51823.080690405,56,667604,-203752.0,-203752.0,-203717.20238883808,2,"D2,56,667604,-203752,-203752.000000,2"
1778637524497045149,51823.090690405,57,677604,-203860.0,-203860.0,-203738.3094918684,2,"D2,57,677604,-203860,-203860.000000,2"
1778637524512085608,51823.105690405,58,692604,-203726.0,-203726.0,-203776.14503932084,2,"D2,58,692604,-203726,-203726.000000,2"
1778637524522117128,51823.115690405,59,702604,-203807.0,-203807.0,-203788.33497476464,2,"D2,59,702604,-203807,-203807.000000,2"
1778637524532167513,51823.125690405,60,712604,-203763.0,-203763.0,-203785.05337233344,2,"D2,60,712604,-203763,-203763.000000,2"
1778637524542203217,51823.135690405,61,722604,-203799.0,-203799.0,-203783.08322978546,2,"D2,61,722604,-203799,-203799.000000,2"
1778637524552216444,51823.145690405,62,732604,-203847.0,-203847.0,-203792.46736914426,2,"D2,62,732604,-203847,-203847.000000,2"
1778637524562222372,51823.155690405,63,742604,-204001.0,-204001.0,-203837.5174710516,2,"D2,63,742604,-204001,-204001.000000,2"
1778637524572247509,51823.165690405,64,752604,-203975.0,-203975.0,-203911.9160719968,2,"D2,64,752604,-203975,-203975.000000,2"
1778637524587384006,51823.180690405,65,767604,-203862.0,-203862.0,-203953.84505912784,2,"D2,65,767604,-203862,-203862.000000,2"
1778637524597368684,51823.190690405,66,777604,-203880.0,-203880.0,-203934.26778448132,2,"D2,66,777604,-203880,-203880.000000,2"
1778637524607275628,51823.200690405,67,787604,-203881.0,-203881.0,-203898.25032429805,2,"D2,67,787604,-203881,-203881.000000,2"
1778637524617315774,51823.210690405,68,797604,-204032.0,-204032.0,-203899.06528517304,2,"D2,68,797604,-204032,-204032.000000,2"
1778637524627514211,51823.220690405,69,807604,-203867.0,-203867.0,-203927.57188349252,2,"D2,69,807604,-203867,-203867.000000,2"
1778637524637440956,51823.230690405,70,817604,-203723.0,-203723.0,-203906.31958460773,2,"D2,70,817604,-203723,-203723.000000,2"
1778637524652509129,51823.245690405,71,832604,-203730.0,-203730.0,-203824.19395139377,2,"D2,71,832604,-203730,-203730.000000,2"
1778637524662422259,51823.255690405,72,842604,-203823.0,-203823.0,-203763.7155465635,2,"D2,72,842604,-203823,-203823.000000,2"
1778637524672437338,51823.265690405,73,852604,-203704.0,-203704.0,-203750.54815061437,2,"D2,73,852604,-203704,-203704.000000,2"
1778637524682533128,51823.275690405,74,862604,-203725.0,-203725.0,-203740.90764108475,2,"D2,74,862604,-203725,-203725.000000,2"
1778637524692612698,51823.285690405,75,872604,-203834.0,-203834.0,-203741.47834033382,2,"D2,75,872604,-203834,-203834.000000,2"
1778637524702657321,51823.295690405,76,882604,-203834.0,-203834.0,-203775.8638328996,2,"D2,76,882604,-203834,-203834.000000,2"
1778637524712566190,51823.305690405,77,892604,-203933.0,-203933.0,-203828.69171877136,2,"D2,77,892604,-203933,-203933.000000,2"
1778637524727687043,51823.320690405,78,907604,-204015.0,-204015.0,-203895.54539858885,2,"D2,78,907604,-204015,-204015.000000,2"
1778637524737739756,51823.330690405,79,917604,-204019.0,-204019.0,-203966.1627366676,2,"D2,79,917604,-204019,-204019.000000,2"
1778637524747776392,51823.340690405,80,927604,-204047.0,-204047.0,-204016.24160748892,2,"D2,80,927604,-204047,-204047.000000,2"
1778637524757802259,51823.350690405,81,937604,-204188.0,-204188.0,-204060.8193452702,2,"D2,81,937604,-204188,-204188.000000,2"
1778637524767918226,51823.360690405,82,947604,-204216.0,-204216.0,-204124.83585515415,2,"D2,82,947604,-204216,-204216.000000,2"
