host_unix_time_ns,lsl_timestamp_s,device_clock_us,value_raw,value_filtered,sequence,parser_mode,raw_line
1775177682402360553,31217.190669310,377848,-190891.0,0.0,40,tagged_csv,"D,40,377848,-190891.00"
1775177682408704170,31217.197014010,390348,-190995.0,-7.5614552309853025,41,tagged_csv,"D,41,390348,-190995.00"
1775177682421326714,31217.209634811,402848,-190814.0,-1.400582225585822,42,tagged_csv,"D,42,402848,-190814.00"
1775177682433870970,31217.222178642,415348,-190998.0,-9.075105101015652,43,tagged_csv,"D,43,415348,-190998.00"
1775177682446400500,31217.234708191,427848,-190886.0,-8.035463533713482,44,tagged_csv,"D,44,427848,-190886.00"
1775177682458928370,31217.247236048,440348,-190959.0,-12.379683179635322,45,tagged_csv,"D,45,440348,-190959.00"
1775177682471484273,31217.259791881,452848,-190934.0,-14.582166153966682,46,tagged_csv,"D,46,452848,-190934.00"
1775177682483978667,31217.272287619,465348,-190813.0,-7.821932795050088,47,tagged_csv,"D,47,465348,-190813.00"
1775177682496513025,31217.284820602,477848,-190972.0,-13.123221718036802,48,tagged_csv,"D,48,477848,-190972.00"
1775177682509096410,31217.297404009,490348,-190988.0,-19.192561395087978,49,tagged_csv,"D,49,490348,-190988.00"
1775177682521623178,31217.309930740,502848,-190928.0,-20.446533155831276,50,tagged_csv,"D,50,502848,-190928.00"
1775177682534140190,31217.322447760,515348,-191025.0,-28.657542620116146,51,tagged_csv,"D,51,515348,-191025.00"
1775177682546729424,31217.335037056,527848,-190952.0,-30.947849561431212,52,tagged_csv,"D,52,527848,-190952.00"
1775177682559268437,31217.347576001,540348,-190755.0,-18.741369181778282,53,tagged_csv,"D,53,540348,-190755.00"
1775177682571839328,31217.360147084,552848,-191025.0,-27.070081342506455,54,tagged_csv,"D,54,552848,-191025.00"
1775177682584456498,31217.372764392,565348,-190889.0,-24.889033035753528,55,tagged_csv,"D,55,565348,-190889.00"
1775177682596895866,31217.385203360,577848,-191057.0,-35.08179724524962,56,tagged_csv,"D,56,577848,-191057.00"
1775177682609478020,31217.397785748,590348,-190856.0,-29.899524693581043,57,tagged_csv,"D,57,590348,-190856.00"
1775177682621983857,31217.410291495,602848,-190873.0,-26.334755910618696,58,tagged_csv,"D,58,602848,-190873.00"
1775177682634541345,31217.422848889,615348,-190954.0,-28.9209617372544,59,tagged_csv,"D,59,615348,-190954.00"
1775177682647083210,31217.435390791,627848,-190984.0,-33.54557473878958,60,tagged_csv,"D,60,627848,-190984.00"
1775177682659706803,31217.448014520,640348,-190877.0,-30.04162681812886,61,tagged_csv,"D,61,640348,-190877.00"
1775177682672067789,31217.460375539,652848,-190949.0,-32.035914672131184,62,tagged_csv,"D,62,652848,-190949.00"
1775177682684714212,31217.473021982,665348,-190937.0,-33.01113138828077,63,tagged_csv,"D,63,665348,-190937.00"
1775177682697283262,31217.485590995,677848,-190803.0,-24.157384378951974,64,tagged_csv,"D,64,677848,-190803.00"
1775177682709667254,31217.497974853,690348,-191090.0,-36.84785725051188,65,tagged_csv,"D,65,690348,-191090.00"
1775177682722312680,31217.510620173,702848,-190999.0,-41.98753730743192,66,tagged_csv,"D,66,702848,-190999.00"
1775177682734890582,31217.523203529,715348,-190992.0,-46.243199706746964,67,tagged_csv,"D,67,715348,-190992.00"
1775177682747437153,31217.535744806,727848,-190833.0,-38.610501985269366,68,tagged_csv,"D,68,727848,-190833.00"
1775177682759901030,31217.548208559,740348,-190928.0,-38.45156935561681,69,tagged_csv,"D,69,740348,-190928.00"
1775177682772536903,31217.560844647,752848,-190873.0,-34.29908239081851,70,tagged_csv,"D,70,752848,-190873.00"
1775177682784966603,31217.573274086,765348,-190875.0,-30.594622646662174,71,tagged_csv,"D,71,765348,-190875.00"
1775177682797531219,31217.585838732,777848,-190889.0,-28.17941063878243,72,tagged_csv,"D,72,777848,-190889.00"
1775177682810046362,31217.598353860,790348,-191026.0,-35.91648506501224,73,tagged_csv,"D,73,790348,-191026.00"
1775177682822524729,31217.610833065,802848,-190988.0,-40.32296253883396,74,tagged_csv,"D,74,802848,-190988.00"
1775177682835104062,31217.623411714,815348,-191082.0,-51.25368575475295,75,tagged_csv,"D,75,815348,-191082.00"
1775177682847691647,31217.635999137,827848,-190818.0,-42.1638142921729,76,tagged_csv,"D,76,827848,-190818.00"
1775177682860287883,31217.648595583,840348,-190825.0,-34.245615428488236,77,tagged_csv,"D,77,840348,-190825.00"
1775177682872798504,31217.661106084,852848,-190960.0,-36.73479227806092,78,tagged_csv,"D,78,852848,-190960.00"
1775177682885329744,31217.673637259,865348,-190730.0,-22.2939893771254,79,tagged_csv,"D,79,865348,-190730.00"
1775177682897870083,31217.686177774,877848,-190811.0,-14.803234140272252,80,tagged_csv,"D,80,877848,-190811.00"
1775177682910479412,31217.698787152,890348,-190950.0,-17.98000998335192,81,tagged_csv,"D,81,890348,-190950.00"
1775177682922979917,31217.711287741,902848,-190960.0,-21.653656469512498,82,tagged_csv,"D,82,902848,-190960.00"
1775177682935465594,31217.723773147,915348,-190857.0,-17.559273925697198,83,tagged_csv,"D,83,915348,-190857.00"
1775177682948071985,31217.736379749,927848,-190949.0,-20.46253304698621,84,tagged_csv,"D,84,927848,-190949.00"
1775177682960559528,31217.748867244,940348,-190914.0,-20.60565761878388,85,tagged_csv,"D,85,940348,-190914.00"
1775177682973101156,31217.761408733,952848,-191029.0,-29.11271810173639,86,tagged_csv,"D,86,952848,-191029.00"
1775177682985626960,31217.773934635,965348,-190939.0,-30.446444488625275,87,tagged_csv,"D,87,965348,-190939.00"
1775177682998154699,31217.786462187,977848,-191116.0,-44.57227799817338,88,tagged_csv,"D,88,977848,-191116.00"
1775177683010596379,31217.798903897,990348,-190979.0,-47.693051677546464,89,tagged_csv,"D,89,990348,-190979.00"
1775177683023247511,31217.811555094,1002848,-190836.0,-40.17323652160121,90,tagged_csv,"D,90,1002848,-190836.00"
1775177683035939610,31217.824247359,1015348,-190908.0,-38.44409462882322,91,tagged_csv,"D,91,1015348,-190908.00"
1775177683048420793,31217.836728444,1027848,-190876.0,-34.510613498685416,92,tagged_csv,"D,92,1027848,-190876.00"
1775177683061019934,31217.849327741,1040348,-190814.0,-26.348699019668857,93,tagged_csv,"D,93,1040348,-190814.00"
1775177683073530922,31217.861838452,1052848,-190968.0,-29.995497383264592,94,tagged_csv,"D,94,1052848,-190968.00"
1775177683086015561,31217.874323207,1065348,-191017.0,-36.944938888045726,95,tagged_csv,"D,95,1065348,-191017.00"
1775177683098544985,31217.886852418,1077848,-190981.0,-40.76678028333117,96,tagged_csv,"D,96,1077848,-190981.00"
1775177683111154438,31217.899462179,1090348,-191119.0,-54.35954322826001,97,tagged_csv,"D,97,1090348,-191119.00"
1775177683123653462,31217.911960997,1102848,-190861.0,-48.17478345427662,98,tagged_csv,"D,98,1102848,-190861.00"
1775177683136192401,31217.924500139,1115348,-191000.0,-52.56245150839095,99,tagged_csv,"D,99,1115348,-191000.00"
1775177683148806025,31217.937113629,1127848,-190865.0,-46.79983889308642,100,tagged_csv,"D,100,1127848,-190865.00"
1775177683161412719,31217.949720237,1140348,-190913.0,-44.95224699078244,101,tagged_csv,"D,101,1140348,-190913.00"
