Dat,Intercept,Value,Kg
0,-189989.40,-190425,0.0
1,-189989.40,-190431,0.0
2,-189989.40,-190531,0.0
3,-189989.40,-190576,0.0
4,-189989.40,-190532,0.0
5,-189989.40,-190441,0.0
6,-189989.40,-190517,0.0
7,-189989.40,-190516,0.0
8,-189989.40,-190450,0.0
9,-189989.40,-190292,0.0
10,-189989.40,-190473,0.0
11,-189989.40,-190528,0.0
12,-189989.40,-190466,0.0
13,-189989.40,-190560,0.0
14,-189989.40,-190574,0.0
15,-189989.40,-190531,0.0
16,-189989.40,-190607,0.0
17,-189989.40,-190450,0.0
18,-189989.40,-190425,0.0
19,-189989.40,-190235,0.0
20,-189989.40,-190202,0.0
21,-189989.40,-190227,0.0
22,-189989.40,-190188,0.0
23,-189989.40,-190242,0.0
24,-189989.40,-190222,0.0
25,-189989.40,-190215,0.0
26,-189989.40,-190499,0.0
27,-189989.40,-190477,0.0
28,-189989.40,-190420,0.0
29,-189989.40,-190468,0.0
30,-189989.40,-190433,0.0
31,-189989.40,-190499,0.0
32,-189989.40,-190484,0.0
33,-189989.40,-190648,0.0
34,-189989.40,-190533,0.0
35,-189989.40,-190450,0.0
36,-189989.40,-190475,0.0
37,-189989.40,-190543,0.0
38,-189989.40,-190413,0.0
39,-189989.40,-190452,0.0
40,-189989.40,-190381,0.0
41,-189989.40,-190545,0.0
42,-189989.40,-190529,0.0
43,-189989.40,-190387,0.0
44,-189989.40,-190460,0.0
45,-189989.40,-190672,0.0
46,-189989.40,-190713,0.0
47,-189989.40,-190541,0.0
48,-189989.40,-190514,0.0
49,-189989.40,-190556,0.0
50,-189989.40,-190503,0.0
51,-189989.40,-190593,0.0
52,-189989.40,-190522,0.0
53,-189989.40,-190499,0.0
54,-189989.40,-190611,0.0
55,-189989.40,-190567,0.0
56,-189989.40,-190669,0.0
57,-189989.40,-190632,0.0
58,-189989.40,-190589,0.0
59,-189989.40,-190468,0.0
60,-189989.40,-190517,0.0
61,-189989.40,-190661,0.0
62,-189989.40,-190683,0.0
63,-189989.40,-190575,0.0
64,-189989.40,-190528,0.0
65,-189989.40,-190350,0.0
66,-189989.40,-190555,0.0
67,-189989.40,-190604,0.0
68,-189989.40,-190706,0.0
69,-189989.40,-190649,0.0
70,-189989.40,-190549,0.0
71,-189989.40,-190359,0.0
72,-189989.40,-190400,0.0
73,-189989.40,-190513,0.0
74,-189989.40,-190535,0.0
75,-189989.40,-190438,0.0
76,-189989.40,-190443,0.0
77,-189989.40,-190443,0.0
78,-189989.40,-190382,0.0
79,-189989.40,-190443,0.0
80,-189989.40,-190543,0.0
81,-189989.40,-190613,0.0
82,-189989.40,-190558,0.0
